PubmedID,Title,Publication Date,Authors,Affiliations,Corresponding Author Email
36434139,The coming decade in precision oncology: six riddles.,,"['Adam Wahida', 'Lars Buschhorn', 'Stefan Fröhling', 'Philipp J Jost', 'Andreas Schneeweiss', 'Peter Lichter', 'Razelle Kurzrock']","['Institute of Metabolism and Cell Death, Helmholtz Zentrum München, Neuherberg, Germany. adamwahida@gmail.com.', 'Division of Molecular Genetics, German Cancer Research Center (DKFZ), Heidelberg, Germany. lars.buschhorn@med.uni-heidelberg.de.', 'Division of Translational Medical Oncology, National Center for Tumor Diseases (NCT) Heidelberg, Heidelberg, Germany.', 'Division of Clinical Oncology, Department of Medicine, Medical University of Graz, Graz, Austria.', 'Division of Gynecological Oncology, National Center for Tumor Diseases (NCT) Heidelberg, Heidelberg, Germany.', 'Division of Molecular Genetics, German Cancer Research Center (DKFZ), Heidelberg, Germany.', 'WIN Consortium, Paris, France. rkurzrock@mcw.edu.']",
37466702,Ligand-based active targeting strategies for cancer theranostics.,,"['Anupriya Bandyopadhyay', 'Tuyelee Das', 'Samapika Nandy', 'Synudeen Sahib', 'Subham Preetam', 'Abilash Valsala Gopalakrishnan', 'Abhijit Dey']","['Department of Life Sciences, Presidency University, 86/1 College Street, Kolkata, 700073, West Bengal, India.', 'Department of Life Sciences, Presidency University, 86/1 College Street, Kolkata, 700073, West Bengal, India.', 'Department of Life Sciences, Presidency University, 86/1 College Street, Kolkata, 700073, West Bengal, India.', 'S.S. Cottage, Njarackal,, P.O.: Perinad, Kollam, 691601, Kerala, India.', 'Institute of Advanced Materials, IAAM, Gammalkilsvägen 18, 59053, Ulrika, Sweden.', 'Department of Biomedical Sciences, School of Bio Sciences and Technology, Vellore Institute of Technology (VIT), Vellore, Tamil Nadu, 632014, India.', 'Department of Life Sciences, Presidency University, 86/1 College Street, Kolkata, 700073, West Bengal, India. abhijit.dbs@presiuniv.ac.in.']",
37265176,Ketogenic diet in cancer management.,2023-Jul-01,"['Wamidh H Talib', 'Anfal Al-Dalaeen', 'Asma Ismail Mahmod']","['Faculty of Allied Medical Sciences.', 'Department of Clinical Nutrition and Dietetics, Faculty of Allied Medical Sciences.', 'Department of Clinical Pharmacy and Therapeutics, Applied Science Private University, Amman, Jordan.']",
29770138,NY-ESO-1 Based Immunotherapy of Cancer: Current Perspectives.,,"['Remy Thomas', 'Ghaneya Al-Khadairi', 'Jessica Roelands', 'Wouter Hendrickx', 'Said Dermime', 'Davide Bedognetti', 'Julie Decock']","['Cancer Research Center, Qatar Biomedical Research Institute, Qatar Foundation, Hamad Bin Khalifa University, Doha, Qatar.', 'Cancer Research Center, Qatar Biomedical Research Institute, Qatar Foundation, Hamad Bin Khalifa University, Doha, Qatar.', 'Immunology, Inflammation, and Metabolism Department, Tumor Biology, Immunology, and Therapy Section, Division of Translational Medicine, Sidra Medicine, Doha, Qatar.', 'Immunology, Inflammation, and Metabolism Department, Tumor Biology, Immunology, and Therapy Section, Division of Translational Medicine, Sidra Medicine, Doha, Qatar.', 'Translational Cancer Research Facility, National Center for Cancer Care and Research, Doha, Qatar.', 'Immunology, Inflammation, and Metabolism Department, Tumor Biology, Immunology, and Therapy Section, Division of Translational Medicine, Sidra Medicine, Doha, Qatar.', 'Cancer Research Center, Qatar Biomedical Research Institute, Qatar Foundation, Hamad Bin Khalifa University, Doha, Qatar.']",
37565723,Revitalizing Cytokine-Based Cancer Immunotherapy through Advanced Delivery Systems.,,"['Pengwen Chen', 'West Kristian Dizon Paraiso', 'Horacio Cabral']","['Department of Bioengineering, Graduate School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo, 113-8656, Japan.', 'Red Arrow Therapeutics, Inc, 7-3-1 Hongo, Bunkyo-ku, Tokyo, 113-0003, Japan.', 'Department of Bioengineering, Graduate School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo, 113-8656, Japan.']",
27889671,European Journal of Cancer's Biennial report on soft tissue and visceral sarcomas or the rapid evolution of treatment concepts in sarcomas.,,"['Jean-Yves Blay', 'Mehdi Brahmi', 'Isabelle Ray-Coquard']","['Department of Medical Oncology, Centre Leon Berard, 28, rue Laennec 69008, Lyon, France. Electronic address: jean-yves.blay@lyon.unicancer.fr.', 'Department of Medical Oncology, Centre Leon Berard, 28, rue Laennec 69008, Lyon, France.', 'Department of Medical Oncology, Centre Leon Berard, 28, rue Laennec 69008, Lyon, France.']",
26456750,Novel delivery approaches for cancer therapeutics.,2015-Dec-10,"['Ashim K Mitra', 'Vibhuti Agrahari', 'Abhirup Mandal', 'Kishore Cholkar', 'Chandramouli Natarajan', 'Sujay Shah', 'Mary Joseph', 'Hoang M Trinh', 'Ravi Vaishya', 'Xiaoyan Yang', 'Yi Hao', 'Varun Khurana', 'Dhananjay Pal']","['Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA. Electronic address: mitraa@umkc.edu.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA; Ricon Pharmaceuticals LLC, 100 Ford Road, Denville, NJ 07834, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA; INSYS Therapeutics Inc, 444 South Ellis Road, Chandler, AZ 85224, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.', 'INSYS Therapeutics Inc, 444 South Ellis Road, Chandler, AZ 85224, USA.', 'Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, MO 64108, USA.']",
39018630,Precision cancer medicine platform trials: Concepts and design of AcSé-ESMART.,,"['Birgit Geoerger', 'Francisco Bautista', 'Nicolas André', 'Pablo Berlanga', 'Susanne A Gatz', 'Lynley V Marshall', 'Jonathan Rubino', 'Baptiste Archambaud', 'Antonin Marchais', 'Alba Rubio-San-Simón', 'Stephane Ducassou', 'C Michel Zwaan', 'Michela Casanova', 'Karsten Nysom', 'Sophie Pellegrino', 'Natalie Hoog-Labouret', 'Agnes Buzyn', 'Patricia Blanc', 'Xavier Paoletti', 'Gilles Vassal']","['Gustave Roussy Cancer Campus, Department of Pediatric and Adolescent Oncology, Université Paris-Saclay, Villejuif, France; Gustave Roussy Cancer Campus, INSERM U1015, Université Paris-Saclay, Villejuif, France. Electronic address: birgit.geoerger@gustaveroussy.fr.', 'Hospital Niño Jesús, Department of Pediatric Oncology, Hematology and Stem Cell Transplantation, Madrid, Spain; Princess Maxima Center for Pediatric Oncology, Utrecht, the Netherlands.', 'Hôpital de la Timone, Department of Pediatric Oncology, AP-HM, Marseille, France; UMR INSERM 1068, CNRS UMR 7258, Aix Marseille Université U105, Marseille Cancer Research Center (CRCM), France; Metronomics Global Health Initiative, Marseille, France.', 'Gustave Roussy Cancer Campus, Department of Pediatric and Adolescent Oncology, Université Paris-Saclay, Villejuif, France.', 'Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, United Kingdom.', 'Royal Marsden Hospital NHS Foundation Trust Paediatric and Adolescent Oncology Drug Development Unit, and & The Institute of Cancer Research, Division of Clinical Studies, London, United Kingdom.', 'Gustave Roussy Cancer Campus, Clinical Research Direction, Université Paris-Saclay, Villejuif, France.', 'Inserm, Université Paris-Saclay, CESP U1018, Oncostat, labeled Ligue Contre le Cancer, Villejuif, France; Gustave Roussy Cancer Campus, Office of Biostatistics and Epidemiology, Université Paris-Saclay, Villejuif, France, Université Paris-Saclay, CESP U1018, Oncostat, labeled Ligue Contre le Cancer, Villejuif, France.', 'Gustave Roussy Cancer Campus, Department of Pediatric and Adolescent Oncology, Université Paris-Saclay, Villejuif, France; Gustave Roussy Cancer Campus, INSERM U1015, Université Paris-Saclay, Villejuif, France.', 'Hospital Niño Jesús, Department of Pediatric Oncology, Hematology and Stem Cell Transplantation, Madrid, Spain.', 'Centre Hospitalier Universitaire Pellegrin - Hôpital des Enfants, Bordeaux, France.', ""Princess Maxima Center for Pediatric Oncology, Utrecht, the Netherlands; Department of Pediatric Oncology, Erasmus MC-Sophia Children's Hospital, Rotterdam, the Netherlands."", 'Fondazione IRCCS Istituto Nazionale dei Tumori, Pediatric Oncology Unit, Milan, Italy.', 'Department of Pediatrics and Adolescent Medicine, Copenhagen University Hospital - Rigshospitalet, Copenhagen, Denmark.', 'Gustave Roussy Cancer Campus, Clinical Research Direction, Université Paris-Saclay, Villejuif, France.', 'Institut National de Cancer, Boulogne, France.', 'Institut National de Cancer, Boulogne, France.', 'Association Imagine for Margo, Paris, France.', 'Inserm, Université Paris-Saclay, CESP U1018, Oncostat, labeled Ligue Contre le Cancer, Villejuif, France; Gustave Roussy Cancer Campus, Office of Biostatistics and Epidemiology, Université Paris-Saclay, Villejuif, France, Université Paris-Saclay, CESP U1018, Oncostat, labeled Ligue Contre le Cancer, Villejuif, France.', 'Gustave Roussy Cancer Campus, Department of Pediatric and Adolescent Oncology, Université Paris-Saclay, Villejuif, France; Gustave Roussy Cancer Campus, Clinical Research Direction, Université Paris-Saclay, Villejuif, France.']",
30755047,Brain metastases and treatment: multiplying cognitive toxicities.,,"['Elise F Nassif', 'Alexandre Arsène-Henry', 'Youlia M Kirova']","['a Department of Radiotherapy , Institut Curie , Paris , France.', 'a Department of Radiotherapy , Institut Curie , Paris , France.', 'a Department of Radiotherapy , Institut Curie , Paris , France.']",
36116682,Therapeutics targeting the metastatic breast cancer bone microenvironment.,,"['Claire L Ihle', 'Sabrina J Wright-Hobart', 'Philip Owens']","['Department of Pathology, University of Colorado Anschutz Medical Campus, Aurora, CO, USA.', 'Susan G. Komen Colorado, Denver, CO, USA.', 'Department of Pathology, University of Colorado Anschutz Medical Campus, Aurora, CO, USA; Department of Veterans Affairs, Research Service, Eastern Colorado Health Care System, Aurora, CO, USA. Electronic address: philip.owens@cuanschutz.edu.']",
25435124,Remaining challenges in childhood cancer and newer targeted therapeutics.,,"['Malcolm A Smith', 'Gregory H Reaman']","['Cancer Therapy Evaluation Program, National Cancer Institute, 9609 Medical Center Drive, RM 5-W414, MSC 9737, Bethesda, MD 20892, USA. Electronic address: Malcolm.Smith@nih.gov.', 'Office of Hematology and Oncology Products, OND, Center for Drug Evaluation and Research, U.S. Food and Drug Administration, White Oak Building 22, Room 2202, 10903 New Hampshire Avenue, Silver Spring, MD 20993, USA.']",
38189107,Neoadjuvant personalized cancer vaccines: the final frontier?,,"['Guilhem Richard', 'Nicole Ruggiero', 'Gary D Steinberg', 'William D Martin', 'Anne S De Groot']","['EpiVax Therapeutics, Inc., Providence, RI, USA.', 'EpiVax Therapeutics, Inc., Providence, RI, USA.', 'EpiVax Therapeutics, Inc., Providence, RI, USA.', 'EpiVax, Inc., Providence, RI, USA.', 'EpiVax, Inc., Providence, RI, USA.']",
35438165,Policies and Practices to Address Cancer's Long-Term Adverse Consequences.,2022-Aug-08,"['Cathy J Bradley', 'Sara Kitchen', 'Smita Bhatia', 'Julie Bynum', 'Gwen Darien', 'J Leonard Lichtenfeld', 'Randall Oyer', 'Lawrence N Shulman', 'Lisa Kennedy Sheldon']","['Department of Health Systems, Management, and Policy, University of Colorado Cancer Center, Aurora, CO, USA.', 'Department of Health Systems, Management, and Policy, University of Colorado Cancer Center, Aurora, CO, USA.', 'University of Alabama at Birmingham.', 'University of Michigan School of Medicine.', 'National Patient Advocate Foundation.', 'Jasper Health.', 'Penn Medicine Lancaster General Health.', 'Abramson Cancer Center, University of Pennsylvania.', 'St. Joseph Hospital.']",
26724249,Opportunities and challenges in combination gene cancer therapy.,2016-Mar-01,"['Kent L Nastiuk', 'John J Krolewski']","['Department of Cancer Genetics, Elm & Carlton Streets, Buffalo, NY 14263, United States.', 'Roswell Park Cancer Institute, Center for Personalized Medicine, United States; Department of Cancer Genetics, Elm & Carlton Streets, Buffalo, NY 14263, United States. Electronic address: john.krolewski@roswellpark.org.']",
