PubmedID,Title,Publication Date,Authors,Affiliations,Corresponding Author Email
29380530,"""How I approach…""-A new series in Pediatric Blood & Cancer.",,"['Peter E Newburger', 'Thomas G Gross']","['Departments of Pediatrics & Molecular, Cell, and Cancer Biology, University of Massachusetts Medical School, Worcester, Massachusetts.', 'Center for Global Health, NCI, NIH, DHHS, Rockville, Maryland.']",
29227286,Drug-perturbation-based stratification of blood cancer.,2018-Jan-02,"['Sascha Dietrich', 'Małgorzata Oleś', 'Junyan Lu', 'Leopold Sellner', 'Simon Anders', 'Britta Velten', 'Bian Wu', 'Jennifer Hüllein', 'Michelle da Silva Liberio', 'Tatjana Walther', 'Lena Wagner', 'Sophie Rabe', 'Sonja Ghidelli-Disse', 'Marcus Bantscheff', 'Andrzej K Oleś', 'Mikołaj Słabicki', 'Andreas Mock', 'Christopher C Oakes', 'Shihui Wang', 'Sina Oppermann', 'Marina Lukas', 'Vladislav Kim', 'Martin Sill', 'Axel Benner', 'Anna Jauch', 'Lesley Ann Sutton', 'Emma Young', 'Richard Rosenquist', 'Xiyang Liu', 'Alexander Jethwa', 'Kwang Seok Lee', 'Joe Lewis', 'Kerstin Putzker', 'Christoph Lutz', 'Davide Rossi', 'Andriy Mokhir', 'Thomas Oellerich', 'Katja Zirlik', 'Marco Herling', 'Florence Nguyen-Khac', 'Christoph Plass', 'Emma Andersson', 'Satu Mustjoki', 'Christof von Kalle', 'Anthony D Ho', 'Manfred Hensel', 'Jan Dürig', 'Ingo Ringshausen', 'Marc Zapatka', 'Wolfgang Huber', 'Thorsten Zenz']","['European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'Department of Medicine V, University Hospital Heidelberg, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'Cellzome, Heidelberg, Germany.', 'Cellzome, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'Division of Hematology, Departments of Internal Medicine and Biomedical Informatics, The Ohio State University, Columbus, Ohio, USA.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'Division of Biostatistics, German Cancer Research Centre, Heidelberg, Germany.', 'Division of Biostatistics, German Cancer Research Centre, Heidelberg, Germany.', 'Institute of Human Genetics, University of Heidelberg, Heidelberg, Germany.', 'Department of Molecular Medicine and Surgery, Karolinska Institutet, Stockholm, Sweden.', 'Department of Molecular Medicine and Surgery, Karolinska Institutet, Stockholm, Sweden.', 'Department of Molecular Medicine and Surgery, Karolinska Institutet, Stockholm, Sweden.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Chemical Biology Core Facility, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Chemical Biology Core Facility, Heidelberg, Germany.', 'Department of Medicine V, University Hospital Heidelberg, Heidelberg, Germany.', 'Department of Translational Medicine, Amedeo Avogadro University of Eastern Piedmont, Novara, Italy; Division of Hematology, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland.', 'Friedrich-Alexander-University of Erlangen-Nürnberg, Department of Chemistry and Pharmacy, Organic Chemistry II, Erlangen, Germany.', 'Hematology/Oncology, Department of Medicine, Johann Wolfgang Goethe University, Frankfurt, Germany; Department of Haematology, Cambridge Institute of Medical Research, University of Cambridge, Cambridge, United Kingdom.', 'German Consortium for Translational Cancer Research (DKTK), Heidelberg, Germany.', 'Department of Internal Medicine I, University Hospital Cologne, Cologne, Germany.', ""INSERM U1138, Université Pierre et Marie Curie-Paris and Service d'Hématologie Biologique, Hôpital Pitié-Salpêtrière, Paris, France."", 'Division of Epigenomics and Cancer Risk Factors, German Cancer Research Centre, Heidelberg, Germany.', 'Hematology Research Unit Helsinki, University of Helsinki, Helsinki, Finland and Department of Hematology, Comprehensive Cancer Centre, Helsinki University Hospital, Helsinki, Finland.', 'Hematology Research Unit Helsinki, University of Helsinki, Helsinki, Finland and Department of Hematology, Comprehensive Cancer Centre, Helsinki University Hospital, Helsinki, Finland.', 'Molecular Therapy in Hematology and Oncology, and Department of Translational Oncology, National Center for Tumor Diseases and German Cancer Research Centre, Heidelberg, Germany.', 'Department of Medicine V, University Hospital Heidelberg, Heidelberg, Germany.', 'Mannheim Oncology Practice, Mannheim, Germany.', 'German Consortium for Translational Cancer Research (DKTK), Heidelberg, Germany.', 'Department of Hematology, University of Cambridge, Cambridge, United Kingdom.', 'Division of Molecular Genetics, German Cancer Research Centre, Heidelberg, Germany.', 'European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.', 'Department of Medicine V, University Hospital Heidelberg, Heidelberg, Germany.']",
28600336,Diagnosis and classification of hematologic malignancies on the basis of genetics.,2017-Jul-27,"['Justin Taylor', 'Wenbin Xiao', 'Omar Abdel-Wahab']","['Human Oncology and Pathogenesis Program, Department of Medicine.', 'Department of Pathology, and.', 'Human Oncology and Pathogenesis Program, Department of Medicine.']",
29426921,The 2016 WHO classification and diagnostic criteria for myeloproliferative neoplasms: document summary and in-depth discussion.,2018-Feb-09,"['Tiziano Barbui', 'Jürgen Thiele', 'Heinz Gisslinger', 'Hans Michael Kvasnicka', 'Alessandro M Vannucchi', 'Paola Guglielmelli', 'Attilio Orazi', 'Ayalew Tefferi']","['FROM Research Foundation, Papa Giovanni XXIII Hospital, Bergamo, Italy. tbarbui@asst-pg23.it.', 'Institute of Pathology, University of Cologne, Cologne, Germany.', 'Medical University of Vienna, Vienna, Austria.', 'Senckenberg Institute of Pathology, University of Frankfurt, Frankfurt, Germany.', 'University of Florence, Florence, Italy.', 'CRIMM-Centro Ricerca e Innovazione delle Malattie Mieloproliferative, Azienda Ospedaliera-Universitaria Careggi, Department of Experimental and Clinical Medicine, University of Florence, Florence, Italy.', 'Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY, USA.', 'Mayo Clinic, Rochester, MN, USA.']",
33512426,"To portray clonal evolution in blood cancer, count your stem cells.",2021-Apr-08,"['Anne-Marie Lyne', 'Lucie Laplane', 'Leïla Perié']","['Institut Curie, Université PSL (Paris Sciences & Lettres), Centre National de la Recherche Scientifique (CNRS) Unité Mixte de Recherche (UMR) 168-Sorbonne Universités, Université Pierre et Marie Curie/Université Paris 06 (UPMC), Paris, France.', ""Université Paris I Panthéon-Sorbonne, CNRS UMR 8590 Institut d'Histoire et de Philosophie des Sciences et des Techniques (IHPST), Paris, France; and."", 'Institut Curie, Université PSL (Paris Sciences & Lettres), Centre National de la Recherche Scientifique (CNRS) Unité Mixte de Recherche (UMR) 168-Sorbonne Universités, Université Pierre et Marie Curie/Université Paris 06 (UPMC), Paris, France.']",
28803919,Therapy-Related Clonal Hematopoiesis in Patients with Non-hematologic Cancers Is Common and Associated with Adverse Clinical Outcomes.,2017-Sep-07,"['Catherine C Coombs', 'Ahmet Zehir', 'Sean M Devlin', 'Ashwin Kishtagari', 'Aijazuddin Syed', 'Philip Jonsson', 'David M Hyman', 'David B Solit', 'Mark E Robson', 'José Baselga', 'Maria E Arcila', 'Marc Ladanyi', 'Martin S Tallman', 'Ross L Levine', 'Michael F Berger']","['Department of Medicine, Leukemia Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Epidemiology and Biostatistics, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Medicine, Leukemia Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Epidemiology and Biostatistics, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Medicine, Developmental Therapeutics Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Weill Cornell Medical College, New York, NY 10065, USA.', 'Department of Medicine, Genitourinary Oncology Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Weill Cornell Medical College, New York, NY 10065, USA; Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Medicine, Breast Medicine Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Department of Medicine, Hereditary Cancer and Genetics Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Weill Cornell Medical College, New York, NY 10065, USA.', 'Department of Medicine, Breast Medicine Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Weill Cornell Medical College, New York, NY 10065, USA; Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA.', 'Department of Medicine, Leukemia Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Weill Cornell Medical College, New York, NY 10065, USA.', 'Department of Medicine, Leukemia Service, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Weill Cornell Medical College, New York, NY 10065, USA; Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Memorial Sloan Kettering Cancer Center, Center for Hematologic Malignancies, New York, NY 10065, USA. Electronic address: leviner@mskcc.org.', 'Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA; Weill Cornell Medical College, New York, NY 10065, USA; Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA. Electronic address: bergerm1@mskcc.org.']",
30907686,How Do Blood Cancer Doctors Discuss Prognosis? Findings from a National Survey of Hematologic Oncologists.,,"['Anand R Habib', 'Angel M Cronin', 'Craig C Earle', 'James A Tulsky', 'Jennifer W Mack', 'Gregory A Abel', 'Oreofe O Odejide']","['1 Division of Population Sciences, Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.', '1 Division of Population Sciences, Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.', '3 Ontario Institute for Cancer Research, Toronto, Ontario, Canada.', '2 Harvard Medical School, Boston, Massachusetts.', '1 Division of Population Sciences, Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.', '1 Division of Population Sciences, Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.', '1 Division of Population Sciences, Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.']",
35218278,Impact of the family communication environment on burden and clinical communication in blood cancer caregiving.,,"['Gemme Campbell-Salome', 'Carla L Fisher', 'Kevin B Wright', 'Greg Lincoln', 'Allison J Applebaum', 'Maria Sae-Hau', 'Elisa S Weiss', 'Carma L Bylund']","['College of Journalism and Communications, University of Florida, Gainesville, Florida, USA.', 'College of Journalism and Communications, University of Florida, Gainesville, Florida, USA.', 'Department of Communication, George Mason University, Fairfax, Virginia, USA.', 'P.K. Younge Developmental Research School, University of Florida, Gainesville, Florida, USA.', 'Department of Psychiatry and Behavioral Sciences, Memorial Sloan Kettering Cancer Center, New York, New York, USA.', 'The Leukemia & Lymphoma Society, Rye Brook, New York, USA.', 'The Leukemia & Lymphoma Society, Rye Brook, New York, USA.', 'Health Outcomes & Biomedical Informatics, College of Medicine, University of Florida, Gainesville, Florida, USA.']",
37420150,Survivorship transitions in blood cancer: Identifying experiences and supportive care needs for caregivers.,,"['M Devyn Mullis', 'Carla L Fisher', 'Amanda L Kastrinos', 'Maria Sae-Hau', 'Elisa S Weiss', 'Michelle Rajotte', 'Carma L Bylund']","['College of Medicine, University of Florida, Gainesville, FL, USA. mullis.md@ufl.edu.', 'College of Medicine, University of Florida, Gainesville, FL, USA.', 'Memorial Sloan Kettering Cancer Center, New York, NY, USA.', 'The Leukemia & Lymphoma Society, Rye Brook, NY, USA.', 'The Leukemia & Lymphoma Society, Rye Brook, NY, USA.', 'The Leukemia & Lymphoma Society, Rye Brook, NY, USA.', 'College of Medicine, University of Florida, Gainesville, FL, USA.']",
28962871,Challenging cancer targets for aptamer delivery.,,['Vittorio de Franciscis'],"['Istituto di Endocrinologia ed Oncologia Sperimentale, CNR, Naples, Italy. Electronic address: defranci@unina.it.']",
37291404,Patient-reported patterns of follow-up care in the 'Aftercare in Blood Cancer Survivors' (ABC) study.,,"['Julia Baum', 'Hildegard Lax', 'Nils Lehmann', 'Anja Merkel-Jens', 'Dietrich W Beelen', 'Karl-Heinz Jöckel', 'Ulrich Dührsen']","['Klinik für Hämatologie, Universitätsklinikum Essen, Universität Duisburg-Essen, Hufelandstraße 55, 45147, Essen, Germany.', 'Institut für Medizinische Informatik, Biometrie und Epidemiologie, Universität Duisburg-Essen, Essen, Germany.', 'Institut für Medizinische Informatik, Biometrie und Epidemiologie, Universität Duisburg-Essen, Essen, Germany.', 'Institut für Medizinische Informatik, Biometrie und Epidemiologie, Universität Duisburg-Essen, Essen, Germany.', 'Klinik für Knochenmarktransplantation, Universitätsklinikum Essen, Universität Duisburg-Essen, Essen, Germany.', 'Institut für Medizinische Informatik, Biometrie und Epidemiologie, Universität Duisburg-Essen, Essen, Germany.', 'Klinik für Hämatologie, Universitätsklinikum Essen, Universität Duisburg-Essen, Hufelandstraße 55, 45147, Essen, Germany. ulrich.duehrsen@uk-essen.de.']",
31419568,Late Events after Treatment with CD19-Targeted Chimeric Antigen Receptor Modified T Cells.,,"['Ana Cordeiro', 'Evandro D Bezerra', 'Alexandre V Hirayama', 'Joshua A Hill', 'Qian V Wu', 'Jenna Voutsinas', 'Mohamed L Sorror', 'Cameron J Turtle', 'David G Maloney', 'Merav Bar']","['Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington; Centro Paulista de Oncologia, Sao Paulo, Brazil.', 'Department of Medicine, University of Washington, Seattle, Washington.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington; Department of Medicine, University of Washington, Seattle, Washington.', 'Public Health Sciences Division, Fred Hutchinson Cancer Research Center, Seattle, Washington.', 'Public Health Sciences Division, Fred Hutchinson Cancer Research Center, Seattle, Washington.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington; Department of Medicine, University of Washington, Seattle, Washington.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington; Department of Medicine, University of Washington, Seattle, Washington; Immunotherapy Integrated Research Center, Fred Hutchinson Cancer Research Center, Seattle, Washington.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington; Department of Medicine, University of Washington, Seattle, Washington; Immunotherapy Integrated Research Center, Fred Hutchinson Cancer Research Center, Seattle, Washington.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington; Department of Medicine, University of Washington, Seattle, Washington. Electronic address: mbar@fredhutch.org.']",
27991893,Cord blood transplantation: rewind to fast forward.,,"['A Dahlberg', 'F Milano']","['Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, WA, USA.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, WA, USA.']",
38228094,"Health-Related Complications during Follow-Up and Their Impact on Blood Cancer Survivors: Results from the ""Aftercare in Blood Cancer Survivors"" (ABC) Study.",,"['Julia Baum', 'Hildegard Lax', 'Nils Lehmann', 'Anja Merkel-Jens', 'Dietrich W Beelen', 'Karl-Heinz Jöckel', 'Ulrich Dührsen']","['Klinik für Hämatologie, Universitätsklinikum Essen, Universität Duisburg-Essen, Essen, Germany.', 'Institut für Medizinische Informatik, Biometrie und Epidemiologie, Universität Duisburg-Essen, Essen, Germany.', 'Institut für Medizinische Informatik, Biometrie und Epidemiologie, Universität Duisburg-Essen, Essen, Germany.', 'Institut für Medizinische Informatik, Biometrie und Epidemiologie, Universität Duisburg-Essen, Essen, Germany.', 'Klinik für Knochenmarktransplantation, Universitätsklinikum Essen, Universität Duisburg-Essen, Essen, Germany.', 'Institut für Medizinische Informatik, Biometrie und Epidemiologie, Universität Duisburg-Essen, Essen, Germany.', 'Klinik für Hämatologie, Universitätsklinikum Essen, Universität Duisburg-Essen, Essen, Germany.']",
35584967,COVID-19 vaccine effectiveness in patients with hematologic malignancy.,,"['Dimpy P Shah', 'Pankil K Shah', 'Michael A Thompson']","['Mays Cancer Center at UTHealth San Antonio MD Anderson, San Antonio, Texas, USA.', 'Mays Cancer Center at UTHealth San Antonio MD Anderson, San Antonio, Texas, USA.', 'Tempus Labs, Chicago, Illinois, USA.']",
35175327,Detecting HLH in hematologic malignancies.,2022-Feb-17,['Paul La Rosée'],['Schwarzwald-Baar Klinikum.'],
25796139,Measuring therapeutic response in chronic graft-versus-host disease. National Institutes of Health consensus development project on criteria for clinical trials in chronic graft-versus-host disease: IV. The 2014 Response Criteria Working Group report.,,"['Stephanie J Lee', 'Daniel Wolff', 'Carrie Kitko', 'John Koreth', 'Yoshihiro Inamoto', 'Madan Jagasia', 'Joseph Pidala', 'Attilio Olivieri', 'Paul J Martin', 'Donna Przepiorka', 'Iskra Pusic', 'Fiona Dignan', 'Sandra A Mitchell', 'Anita Lawitschka', 'David Jacobsohn', 'Anne M Hall', 'Mary E D Flowers', 'Kirk R Schultz', 'Georgia Vogelsang', 'Steven Pavletic']","['Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington.', 'Department of Internal Medicine III, University of Regensburg, Regensburg, Germany.', 'Department of Pediatrics, University of Michigan, Ann Arbor, Michigan.', 'Division of Hematologic Malignancies, Dana Farber Cancer Institute, Boston, Massachusetts.', 'Division of Hematopoietic Stem Cell Transplantation, National Cancer Center Hospital, Tokyo, Japan.', 'Division of Hematology-Oncology, Vanderbilt University, Nashville, Tennessee.', 'Blood and Marrow Transplantation, H. Lee Moffitt Cancer Center, Tampa, Florida.', 'Department of Clinical and Molecular Sciences, University of Ancona, Ancona, Italy.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington.', 'US Food and Drug Administration, Center for Drug Evaluation and Research, Silver Spring, Maryland.', 'Department of Medicine, Washington University, St. Louis, Missouri.', 'Department of Clinical Haematology, University of Manchester, Manchester, United Kingdom.', 'Outcomes Research Branch, National Cancer Institute, Bethesda, Maryland.', ""Stem Cell Transplant Unit, St. Anna Children's Hospital, Medical University Vienna, Vienna, Austria."", ""Division of Blood and Marrow Transplantation, Children's National Health System, Washington, District of Columbia."", 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington.', 'Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, Washington.', ""BC Children's Hospital, University of British Columbia, Vancouver, Canada."", 'Johns Hopkins Oncology Center, Baltimore, Maryland.', 'Outcomes Research Branch, National Cancer Institute, Bethesda, Maryland. Electronic address: pavletis@mail.nih.gov.']",
32229066,Magnesium: The overlooked electrolyte in blood cancers?,,"['Jennifer Gile', 'Gordon Ruan', 'Jithma Abeykoon', 'M Molly McMahon', 'Thomas Witzig']","['Mayo Clinic, 200 First Street SW, Rochester, MN 55905, USA. Electronic address: Gile.Jennifer@Mayo.Edu.', 'Mayo Clinic, 200 First Street SW, Rochester, MN 55905, USA. Electronic address: Ruan.Gordon@Mayo.Edu.', 'Mayo Clinic, 200 First Street SW, Rochester, MN 55905, USA. Electronic address: Abeykoon.Jithma@Mayo.Edu.', 'Mayo Clinic, 200 First Street SW, Rochester, MN 55905, USA. Electronic address: McMahon.Molly@Mayo.Edu.', 'Mayo Clinic, 200 First Street SW, Rochester, MN 55905, USA. Electronic address: Witzig.Thomas@Mayo.Edu.']",
